Model,Performance
AMD Turion 64 X2 Mobile TL-68,866
Intel Core2 Duo SP9400 @ 2.40GHz,863
Intel Pentium B940 @ 2.00GHz,861
Intel Celeron E3400 @ 2.60GHz,860
Intel Celeron B830 @ 1.80GHz,857
Intel Xeon 5140 @ 2.33GHz,857
AMD Athlon Dual Core 5000B,856
AMD Athlon X2 250,855
AMD Turion II N530 Dual-Core,855
Intel Celeron 2957U @ 1.40GHz,855
AMD Turion II Neo N54L Dual-Core,853
AMD Athlon 64 X2 Dual Core 5200+,851
AMD A4-9120e,851
AMD A4-9120C,850
Intel Core2 Duo P8600 @ 2.40GHz,849
Intel Core2 Duo P8400 @ 2.26GHz,849
Intel Core2 Duo P7550 @ 2.26GHz,849
Intel Celeron P4500 @ 1.87GHz,848
Intel Core i3-2367M @ 1.40GHz,847
AMD Athlon Dual Core 5050e,846
Intel Celeron P4600 @ 2.00GHz,846
Intel Core2 Duo P7570 @ 2.26GHz,845
AMD Turion II Dual-Core Mobile M520,844
Intel Pentium E2220 @ 2.40GHz,842
AMD TurionX2 Ultra DualCore Mobile ZM-85,841
Intel Celeron E1600 @ 2.40GHz,840
Intel Celeron E3200 @ 2.40GHz,839
AMD Opteron 275,839
Intel Celeron 1007U @ 1.50GHz,839
Intel Core i3-2377M @ 1.50GHz,838
Intel Xeon E5205 @ 1.86GHz,838
Intel Xeon E5502 @ 1.87GHz,837
Intel Pentium P6300 @ 2.27GHz,834
AMD Turion X2 Ultra Dual-Core Mobile ZM-85,828
Intel Core2 Duo T7500 @ 2.20GHz,828
Intel Core2 Duo T6670 @ 2.20GHz,827
AMD Sempron X2 180,826
Intel Core2 Duo T7600 @ 2.33GHz,824
Intel Pentium T4500 @ 2.30GHz,824
AMD Athlon Dual Core 5200B,823
Intel Core i3-2365M @ 1.40GHz,819
Intel Xeon 3050 @ 2.13GHz,818
Intel Atom x5-Z8300 @ 1.44GHz,814
AMD Turion II Ultra Dual-Core Mobile M620,814
AMD Turion II P520 Dual-Core,812
Intel Pentium P6000 @ 1.87GHz,810
Intel Atom x5-Z8330 @ 1.44GHz,809
Intel Pentium 997 @ 1.60GHz,809
Intel Core2 Duo E6540 @ 2.33GHz,808
AMD Athlon II Dual-Core M340,807
Intel Pentium D 960 @ 3.60GHz,807
AMD Opteron 1214 HE,806
AMD A4-4355M APU,806
Intel Xeon E5503 @ 2.00GHz,804
AMD Athlon64 X2 Dual Core 4600+,803
Intel Celeron B820 @ 1.70GHz,802
AMD Turion X2 Ultra Dual-Core Mobile ZM-84,802
Intel Atom Z3580 @ 1.33GHz,802
AMD Turion X2 Dual-Core Mobile RM-76,799
AMD A6-4455M APU,797
Intel Xeon 5130 @ 2.00GHz,795
Intel Celeron E3300 @ 2.50GHz,795
Intel Atom Z3775D @ 1.49GHz,794
AMD GX-217GA SOC,794
Intel Core2 Duo T6600 @ 2.20GHz,793
Intel Xeon 3040 @ 1.86GHz,790
Intel Core2 Duo P7370 @ 2.00GHz,790
AMD Athlon 64 X2 Dual Core 5000+,789
AMD Athlon 7450 Dual-Core,789
Intel Core i3-2357M @ 1.30GHz,788
Intel Core2 Duo L9600 @ 2.13GHz,788
AMD Athlon Dual Core 4850e,783
Intel Core2 Duo P7450 @ 2.13GHz,783
AMD A4-3310MX APU,782
Intel Core i5-470UM @ 1.33GHz,782
AMD Opteron 1216,781
Intel Core2 Duo E6400 @ 2.13GHz,780
Intel Celeron N2910 @ 1.60GHz,778
Intel Pentium T4400 @ 2.20GHz,776
Intel Celeron B810 @ 1.60GHz,775
Intel Atom Z3735G @ 1.33GHz,772
AMD Opteron 1212 HE,771
Intel Core2 Duo T8100 @ 2.10GHz,770
AMD Athlon II N350 Dual-Core,767
AMD A4-5150M APU,765
AMD Opteron 280,765
Intel Xeon 5120 @ 1.86GHz,763
Intel Core2 Duo T7400 @ 2.16GHz,761
Intel Core2 Duo E6420 @ 2.13GHz,760
Intel Core2 Duo T6570 @ 2.10GHz,759
Intel Core2 Duo SL9400 @ 1.86GHz,759
Intel Pentium T4300 @ 2.10GHz,759
AMD A4-3330MX APU,756
AMD Turion II Dual-Core Mobile M500,756
Intel Celeron 887 @ 1.50GHz,754
AMD GX-218GL SOC,754
AMD A4-3305M APU,751
Intel Atom Z3560 @ 1.00GHz,749
AMD Athlon II Dual-Core M320,749
Intel Celeron 1047UE @ 1.40GHz,748
Dual-Core AMD Opteron 1220 SE,748
Intel Core2 Duo P7350 @ 2.00GHz,748
Intel Pentium E2200 @ 2.20GHz,747
Intel Core2 Duo T6500 @ 2.10GHz,747
AMD Opteron 180,746
Intel Pentium Dual T2390 @ 1.86GHz,745
Intel Core i3-380UM @ 1.33GHz,745
AMD Turion X2 Ultra Dual-Core Mobile ZM-87,741
Intel Core2 Duo T7200 @ 2.00GHz,738
AMD Athlon Dual Core 5600B,737
Intel Pentium D 3.40GHz,736
AMD Opteron 270,736
Intel Atom Z3770 @ 1.46GHz,736
Intel Celeron E1400 @ 2.00GHz,735
Intel Core2 Duo E4500 @ 2.20GHz,734
AMD Turion X2 Ultra Dual-Core Mobile ZM-82,733
Intel Celeron B815 @ 1.60GHz,731
AMD Athlon 64 X2 Dual Core 4200+,731
AMD Athlon II P360 Dual-Core,730
AMD Opteron 1216 HE,727
AMD Turion X2 Dual-Core Mobile RM-75,727
AMD Athlon Dual Core 4850B,727
Intel Core2 Duo T6400 @ 2.00GHz,727
AMD E2-3000 APU,726
AMD Athlon 64 X2 Dual Core 4600+,720
Intel Core2 Duo E4400 @ 2.00GHz,718
Intel Core2 Duo E6320 @ 1.86GHz,717
Intel Pentium T4200 @ 2.00GHz,714
AMD A4-3300M APU,714
AMD Athlon II X2 260u,713
AMD Athlon Dual Core 4450B,711
AMD Athlon II P340 Dual-Core,710
Intel Core2 Duo T7250 @ 2.00GHz,709
AMD Athlon 64 FX-60 Dual Core,709
AMD Athlon Dual Core 4450e,705
Intel Atom E3840 @ 1.91GHz,704
Intel Atom Z3775 @ 1.46GHz,704
Intel Atom Z3735D @ 1.33GHz,704
Intel Core2 Duo T5750 @ 2.00GHz,702
Intel Pentium E2210 @ 2.20GHz,702
Intel Core2 Duo T5870 @ 2.00GHz,698
AMD Opteron 1214,696
AMD Turion 64 X2 Mobile TL-66,696
AMD Athlon II P320 Dual-Core,695
AMD Opteron 185,695
AMD Turion X2 Ultra Dual-Core Mobile ZM-86,695
Intel Celeron 877 @ 1.40GHz,693
AMD Athlon 64 X2 Dual Core 4000+,692
AMD Turion X2 Dual Core Mobile RM-76,691
Intel Core2 Duo L9300 @ 1.60GHz,690
Intel Atom Z3560 @ 1.83GHz,690
Intel Celeron P4505 @ 1.87GHz,689
Intel Core2 Duo T5850 @ 2.16GHz,687
AMD Turion II Neo K685 Dual-Core,684
Intel Celeron 2961Y @ 1.10GHz,684
Intel Pentium E2180 @ 2.00GHz,683
AMD Opteron 175,682
Intel Core2 Duo T7300 @ 2.00GHz,682
Intel Pentium D 950 @ 3.40GHz,681
Intel Core2 Duo L7800 @ 2.00GHz,680
Intel Celeron J3060 @ 1.60GHz,679
AMD Athlon 64 X2 Dual Core 4800+,679
AMD Athlon 64 X2 Dual Core 4400+,675
AMD Athlon II X2 270u,675
AMD Turion 64 X2 Mobile TL-64,675
AMD Athlon Dual Core 4050e,674
AMD Athlon X2 Dual Core BE-2400,674
AMD Athlon II Dual-Core M300,670
AMD E2-3000M APU,668
AMD A4-3320M APU,668
AMD Athlon II N330 Dual-Core,665
Intel Celeron N3060 @ 1.60GHz,664
Intel Celeron B800 @ 1.50GHz,663
AMD E2-7015 APU,662
AMD Turion Dual-Core RM-75,659
Intel Core2 Duo T5600 @ 1.83GHz,658
Intel Core2 Duo L7500 @ 1.60GHz,657
Intel Pentium 987 @ 1.50GHz,657
AMD Turion X2 Dual-Core Mobile RM-74,655
Intel Pentium T3400 @ 2.16GHz,653
AMD Turion X2 Dual-Core Mobile RM-72,653
AMD Athlon 64 X2 Dual Core 5800+,653
Intel Core2 Duo T5900 @ 2.20GHz,652
AMD Athlon 64 X2 QL-60,652
AMD GX-412TC SOC,650
AMD Turion Dual-Core RM-72,649
AMD Turion 64 X2 Mobile TL-62,649
AMD Opteron 170,648
Intel Pentium E2160 @ 1.80GHz,648
AMD GX-212JC SOC ,646
Intel Pentium 967 @ 1.30GHz,643
Intel Core2 Duo T5550 @ 1.83GHz,642
AMD Athlon 64 X2 QL-66,641
AMD Turion 64 X2 Mobile TL-60,639
Intel Core2 Duo E6300 @ 1.86GHz,638
AMD Athlon 64 X2 QL-65,637
AMD E2-7015,637
AMD Athlon 64 X2 Dual Core 3600+,633
Intel Pentium T3200 @ 2.00GHz,631
AMD Athlon 64 X2 Dual Core 3800+,629
Intel Core i5-430UM @ 1.20GHz,627
Intel Celeron E1500 @ 2.20GHz,626
Intel Pentium U5600 @ 1.33GHz,624
AMD Athlon 64 X2 QL-64,624
Intel Pentium 957 @ 1.20GHz,622
Intel Core2 Duo T5800 @ 2.00GHz,622
Intel Atom Z3740 @ 1.33GHz,621
Intel Celeron N3000 @ 1.04GHz,621
Intel Atom Z3745 @ 1.33GHz,621
AMD Athlon 64 X2 Dual-Core TK-57,620
AMD Turion II Neo K625 Dual-Core,618
AMD Turion II Neo N40L Dual-Core,617
Intel Atom Z3740D @ 1.33GHz,614
AMD Turion X2 Dual-Core Mobile RM-70,612
Intel U4100 @ 1.30GHz,610
Intel Core2 Duo T7100 @ 1.80GHz,607
Intel Core2 Duo L7700 @ 1.80GHz,607
Intel Celeron N3010 @ 1.04GHz,605
AMD Turion X2 Dual Core L510,603
AMD E1 Micro-6200T APU,600
Intel Atom Z3745D @ 1.33GHz,599
AMD TurionX2 Ultra DualCore Mobile ZM-87,599
AMD Athlon II X2 250u,598
AMD Sempron 150,597
Intel Celeron J1750 @ 2.41GHz,595
AMD Athlon 64 X2 Dual Core BE-2300,594
AMD E1-7010 APU,593
AMD Opteron 1212,593
AMD E1-2500 APU,593
Intel Core2 Duo E4300 @ 1.80GHz,593
AMD Athlon X2 Dual Core BE-2350,591
Intel Core2 Duo T5470 @ 1.60GHz,590
Intel Core2 Duo T5670 @ 1.80GHz,590
AMD Turion Dual-Core RM-74,588
Intel Celeron N2840 @ 2.16GHz,588
Intel Celeron N3050 @ 1.60GHz,587
Intel Pentium 2129Y @ 1.10GHz,587
Intel Atom C2338 @ 1.74GHz,584
Intel Celeron 847E @ 1.10GHz,584
Intel Core2 Duo T5450 @ 1.66GHz,583
AMD Athlon 64 X2 QL-67,582
Intel Xeon MV 3.20GHz,582
Intel Celeron U3600 @ 1.20GHz,579
Intel Atom C2358 @ 1.74GHz,578
Intel Core2 Duo U9600 @ 1.60GHz,577
AMD Athlon 64 X2 Dual-Core TK-42,577
Intel Celeron 1019Y @ 1.00GHz,576
AMD Athlon 64 X2 Dual Core BE-2350,573
Intel Celeron J1800 @ 2.41GHz,573
Intel Celeron @ 1.30GHz,572
AMD E1-6015 APU,571
AMD Athlon X2 Dual Core BE-2300,570
Intel Celeron G470 @ 2.00GHz,570
Intel Celeron 857 @ 1.20GHz,569
Intel Pentium T2390 @ 1.86GHz,568
Intel Pentium T2410 @ 2.00GHz,566
Intel Atom Z3530 @ 1.33GHz,565
AMD Athlon X2 Dual Core 6850e,564
Intel Pentium D 830 @ 3.00GHz,564
AMD Sempron Dual Core 2200,563
AMD Turion X2 Dual-Core Mobile RM-77,562
Intel Celeron 867 @ 1.30GHz,562
AMD Turion Dual-Core RM-70,561
AMD Athlon 64 X2 Dual-Core TK-53,558
Intel Pentium T2370 @ 1.73GHz,558
Intel Atom Z3735E @ 1.33GHz,557
AMD Athlon Neo X2 Dual Core L325,556
Intel Core i3-330UM @ 1.20GHz,555
AMD Sempron Dual Core 2300,555
Intel Pentium D 940 @ 3.20GHz,552
Intel Pentium U5400 @ 1.20GHz,552
AMD Sempron 2650 APU,551
Intel Celeron T1600 @ 1.66GHz,551
Intel Core2 Duo T5250 @ 1.50GHz,549
Intel T1400 @ 1.73GHz,548
Intel Core2 Duo T5500 @ 1.66GHz,548
Intel T1500 @ 1.86GHz,548
Intel Celeron N2830 @ 2.16GHz,548
Intel Celeron G465 @ 1.90GHz,547
Intel Atom Z3735F @ 1.33GHz,541
Intel Pentium E2140 @ 1.60GHz,539
Intel Pentium T2330 @ 1.60GHz,538
AMD TurionX2 Dual Core Mobile RM-70,536
Intel Core2 Duo L7300 @ 1.40GHz,536
AMD Turion 64 X2 Mobile TL-52,534
AMD E1-6010 APU,534
AMD Sempron Dual Core 2100,533
AMD Opteron 165,531
Intel Pentium T2310 @ 1.46GHz,531
AMD Athlon 64 X2 Dual Core 3400+,531
Intel Core2 Duo T5300 @ 1.73GHz,530
AMD Athlon Neo X2 Dual Core L335,529
AMD Athlon II Neo K345 Dual-Core,527
Intel Atom S1260 @ 2.00GHz,526
AMD Athlon 64 X2 QL-62,525
Intel Core2 Duo U7300 @ 1.30GHz,522
Intel Atom C2350 @ 1.74GHz,520
AMD Athlon 64 X2 Dual-Core TK-55,518
AMD Sempron 145,518
AMD Athlon 64 FX-57,517
Intel Celeron E1200 @ 1.60GHz,516
Intel Celeron U3400 @ 1.07GHz,516
Intel Core2 Duo L7400 @ 1.50GHz,516
Intel T2050 @ 2.00GHz,516
AMD Turion 64 X2 Mobile TL-56,514
Intel Core2 Duo SU9400 @ 1.40GHz,511
Intel Atom D2701 @ 2.13GHz,511
AMD Sempron 130,511
Intel Celeron N2808 @ 1.58GHz,510
AMD Turion X2 Ultra Dual-Core Mobile ZM-80,506
Intel Celeron N2820 @ 2.13GHz,505
Intel Core Duo T2700 @ 2.33GHz,498
AMD Turion X2 Dual Core Mobile RM-70,497
AMD E2-2000 APU,496
Intel Atom Z3736F @ 1.33GHz,496
Intel Pentium SU4100 @ 1.30GHz,492
Intel Celeron N2815 @ 1.86GHz,492
Intel Celeron N2806 @ 1.60GHz,489
Intel Atom Z3770D @ 1.49GHz,488
AMD Athlon II Neo N36L Dual-Core,487
Intel Celeron N2807 @ 1.58GHz,486
AMD Sempron 140,486
AMD E-350D APU,486
AMD Athlon 64 3100+,484
AMD G-T56N,484
AMD Turion 64 X2 Mobile TL-58,483
Intel Celeron SU2300 @ 1.20GHz,482
Intel Xeon 3.20GHz,478
Intel Celeron 847 @ 1.10GHz,478
Intel Celeron 925 @ 2.30GHz,477
AMD Turion 64 X2 Mobile TL-50,474
AMD E1-2200 APU,474
AMD TurionX2 Dual Core Mobile RM-72,471
Intel Core2 Duo T5200 @ 1.60GHz,470
Intel Pentium Extreme Edition 955 @ 3.46GHz,469
Intel Celeron G460 @ 1.80GHz,469
Intel Core2 Duo L7100 @ 1.20GHz,467
Intel Atom D2700 @ 2.13GHz,467
Intel Pentium D 915 @ 2.80GHz,465
AMD Athlon 64 FX-59,465
Intel Core2 Duo U9300 @ 1.20GHz,464
Intel Atom E3827 @ 1.74GHz,463
Intel Core Duo T2600 @ 2.16GHz,460
AMD Opteron 154,457
AMD Athlon Neo X2 Dual Core 6850e,456
AMD Opteron 254,451
AMD E2-1800 APU,449
Intel Atom N2800 @ 1.86GHz,444
AMD G-T56E,442
AMD E-450 APU,437
Intel Celeron 450 @ 2.20GHz,433
Intel Atom D2560 @ 2.00GHz,433
AMD Turion Neo X2 Dual Core L625,432
AMD Athlon LE-1640,430
Intel Core2 Duo U7700 @ 1.33GHz,429
AMD Opteron 152,428
Intel Core2 Duo T5270 @ 1.40GHz,427
AMD G-T48E,427
Intel Xeon 3.00GHz,425
AMD E-350 APU,423
AMD V140,422
AMD Athlon LE-1620,421
AMD E-350,421
Intel Celeron G440 @ 1.60GHz,420
AMD Sempron LE-1300,417
AMD Athlon II Neo K325 Dual-Core,417
AMD Athlon LE-1660,416
Intel Celeron 900 @ 2.20GHz,412
AMD Athlon LE-1600,412
AMD Athlon 1640B,412
Intel Core Duo T2450 @ 2.00GHz,411
Intel Atom D2550 @ 1.86GHz,409
Intel Core Duo T2500 @ 2.00GHz,408
Intel Atom D510 @ 1.66GHz,406
AMD A4-1250 APU,406
Intel Atom E3805 @ 1.33GHz,406
AMD E1-2100 APU,406
Intel Xeon 5110 @ 1.60GHz,405
Intel Core Duo L2500 @ 1.83GHz,404
AMD Athlon 64 FX-55,404
Intel Xeon 3.60GHz,403
Intel Atom D525 @ 1.80GHz,402
Intel Core i7-2630UM @ 1.60GHz,400
AMD Turion 64 Mobile ML-42,400
AMD Geode NX 2400+,400
AMD E1-1500 APU,398
AMD Athlon 64 3700+,394
AMD Opteron 150,393
Intel Xeon 3.80GHz,393
AMD Opteron 148,392
Intel Core2 Duo U7500 @ 1.06GHz,392
Intel Celeron 807 @ 1.50GHz,392
Intel Core Duo L2300 @ 1.50GHz,387
Intel Pentium 4 3.73GHz,385
Intel Core Duo T2350 @ 1.86GHz,385
AMD Turion 64 Mobile ML-44,384
Intel Pentium T2130 @ 1.86GHz,382
AMD E1-1200 APU,380
Intel Atom E3825 @ 1.33GHz,378
AMD Athlon 64 3500+,377
Intel Celeron N2810 @ 2.00GHz,377
Intel Xeon 3.40GHz,375
AMD Athlon 64 3300+,375
Intel Pentium D 805 @ 2.66GHz,374
Intel Celeron D 360 @ 3.46GHz,372
Intel Celeron 827E @ 1.40GHz,371
AMD A4-1200 APU,369
Intel Celeron 440 @ 2.00GHz,368
AMD Sempron 3600+,364
Intel Atom 330 @ 1.60GHz,363
Intel Core Duo T2400 @ 1.83GHz,362
AMD Turion 64 Mobile MK-38,362
AMD Sempron 3800+,360
Intel Atom N2600 @ 1.60GHz,360
Intel Pentium 4 3.80GHz,358
AMD Athlon II 160u,358
AMD Athlon X2 Dual Core 3250e,357
Mobile AMD Athlon 64 3700+,356
AMD Athlon II 170u,355
AMD V120,352
Intel Core Duo T2250 @ 1.73GHz,350
AMD Sempron LE-1200,349
Intel Core Duo L2400 @ 1.66GHz,348
Intel Core2 Duo U7600 @ 1.20GHz,347
AMD Opteron 146,346
Mobile Intel Pentium 4 3.33GHz,344
Intel Celeron 570 @ 2.26GHz,344
Intel Atom N570 @ 1.66GHz,341
Intel 2.80GHz,341
Intel Pentium T2080 @ 1.73GHz,341
AMD Athlon 64 4000+,340
AMD E-300 APU,339
Intel Celeron 560 @ 2.13GHz,339
AMD Athlon TF-36,338
AMD V160,337
AMD Turion 64 Mobile ML-40,336
Intel Celeron N2805 @ 1.46GHz,335
Mobile AMD Sempron 3800+,335
AMD Turion 64 Mobile ML-37,334
AMD Athlon 64 3000+,334
Intel Celeron 550 @ 2.00GHz,334
AMD Turion 64 Mobile MK-36,334
Mobile AMD Athlon 64 3400+,333
AMD Athlon 2850e,333
Intel Core Duo T2050 @ 1.60GHz,333
AMD Sempron M100,332
Intel Pentium 4 3.20GHz,330
Intel Pentium T2060 @ 1.60GHz,330
AMD Athlon X2 Dual Core L310,329
Mobile AMD Athlon 64 3200+,326
Intel Core Duo T2300 @ 1.66GHz,325
AMD Turion 64 Mobile ML-34,319
AMD Athlon 64 3400+,317
AMD Opteron 144,316
AMD C-60 APU,316
Intel Pentium 4 3.60GHz,315
AMD Sempron 3300+,315
AMD C-70 APU,315
AMD Athlon II Neo K125,315
AMD Sempron LE-1100,315
Intel Celeron D 420 @ 1.60GHz,313
Mobile AMD Athlon 64 4000+,313
Intel Pentium 4 3.00GHz,308
Intel Celeron 3.06GHz,307
AMD Athlon 64 3200+,305
AMD Z-01,305
Intel Celeron 540 @ 1.86GHz,305
Intel Atom E3826 @ 1.46GHz,304
Intel Celeron M 530 @ 1.73GHz,302
AMD Sempron LE-1250,301
AMD Sempron 3000+,299
AMD G-T40N,299
Intel Pentium 4 3.40GHz,298
AMD Sempron 3100+,298
Intel Atom Z2760 @ 1.80GHz,298
AMD Athlon II Neo K145,298
AMD Athlon 64 2800+,295
Intel Pentium 4 3.46GHz,295
Mobile AMD Sempron 3300+,294
Intel Pentium M 2.10GHz,292
AMD Sempron 3400+,292
AMD Athlon 64 3800+,292
AMD Athlon 2800+,291
AMD C-60,290
Intel Celeron 430 @ 1.80GHz,289
AMD G-T40E,289
AMD Sempron SI-40,288
AMD Turion 64 Mobile MT-32,286
AMD Turion 64 Mobile ML-32,285
Mobile AMD Sempron 3600+,284
Intel Atom N550 @ 1.50GHz,283
AMD Athlon XP 3100+,282
AMD Athlon XP 3200+,281
Intel Pentium M 1.80GHz,280
AMD Turion 64 Mobile MT-34,279
Mobile AMD Sempron 3100+,277
AMD Turion 64 Mobile ML-30,277
AMD Athlon XP 2900+,276
Intel Celeron 743 @ 1.30GHz,275
AMD Athlon Neo MV-40,275
Intel Celeron D 352 @ 3.20GHz,274
AMD Turion 64 Mobile MT-37,274
AMD Athlon 2650e,274
Intel Pentium M 2.00GHz,270
Mobile AMD Sempron 3400+,269
Mobile AMD Sempron 3000+,269
Intel Celeron 530 @ 1.73GHz,268
Intel Celeron M 723 @ 1.20GHz,267
AMD Sempron 210U,267
Intel Celeron 3.20GHz,267
AMD Athlon TF-20,265
AMD C-50,265
Intel Celeron 3.33GHz,263
AMD Athlon XP 3000+,262
AMD Z-60 APU,262
Intel Xeon 2.80GHz,260
AMD Athlon XP 2800+,260
Mobile AMD Sempron 3500+,259
AMD Athlon XP 2700+,256
Mobile AMD Sempron 2600+,256
Intel Core Duo U2400 @ 1.06GHz,255
AMD Turion 64 Mobile ML-28,254
Intel Core Solo T1400 @ 1.83GHz,253
AMD Sempron 2600+,253
Intel Core2 Solo U3500 @ 1.40GHz,252
Intel Celeron M 1.70GHz,252
Intel Celeron D 356 @ 3.33GHz,251
AMD Sempron LE-1150,251
AMD Sempron 3200+,251
Intel Pentium 4 3.06GHz,249
AMD GX-210JA SOC,248
AMD Sempron M120,247
AMD Turion 64 Mobile MT-30,246
Mobile AMD Sempron 3200+,245
AMD Sempron SI-42,245
AMD Athlon 64 2600+,243
AMD Sempron 2800+,243
AMD Athlon XP2400+,243
AMD Athlon XP 2600+,242
Mobile AMD Athlon 2500+,241
Intel Atom D2500 @ 1.86GHz,241
Mobile AMD Athlon XP-M 2600+,241
Intel Celeron 807UE @ 1.00GHz,241
Intel Pentium M 1.50GHz,240
Intel Celeron M 520 @ 1.60GHz,239
Intel Pentium M 1.70GHz,239
Mobile AMD Athlon XP-M 3000+,238
Mobile AMD Athlon XP-M 2800+,238
Mobile AMD Athlon XP-M 2200+,237
Intel Pentium M 1700MHz,237
Mobile AMD Sempron 2800+,237
Intel Pentium 4 2.80GHz,237
Intel Celeron 420 @ 1.60GHz,235
Intel Pentium M 2.13GHz,234
AMD Athlon XP 2400+,234
Mobile AMD Athlon 4 2400+,233
Intel Core2 Solo U2100 @ 1.06GHz,233
Intel Celeron D 347 @ 3.06GHz,232
AMD Sempron 3500+,232
Mobile Intel Pentium 4 3.20GHz,232
AMD Athlon XP 2500+,231
Intel Celeron 2.93GHz,230
Intel Celeron M 450 @ 2.00GHz,230
Intel Pentium SU2700 @ 1.30GHz,228
Intel Pentium M 2.26GHz,227
Mobile AMD Athlon XP-M 2500+,226
Mobile AMD Athlon XP-M 2400+,225
Intel Pentium M 1.40GHz,225
Intel Atom N470 @ 1.83GHz,224
Intel Core Duo U2500 @ 1.20GHz,223
Intel Celeron 2.53GHz,222
Intel Pentium M 1.86GHz,222
Intel Celeron M 360 1.40GHz,221
Mobile Intel Pentium 4 3.06GHz,220
Intel Celeron M 1500MHz,217
Intel Pentium 4 2.60GHz,215
AMD Athlon XP 2200+,214
Intel Celeron 723 @ 1.20GHz,213
AMD Athlon XP 2100+,210
Intel Core Solo T1300 @ 1.66GHz,210
Intel Celeron 220 @ 1.20GHz,209
Intel Pentium M 1400MHz,208
AMD Sempron 2500+,207
AMD Sempron 2300+,207
Mobile Intel Pentium 4 2.80GHz,205
AMD Sempron 2400+,205
Intel Celeron M 1.30GHz,205
Intel Pentium M 1.73GHz,205
Intel Atom D425 @ 1.80GHz,204
AMD Athlon XP 1900+,203
Intel Atom N450 @ 1.66GHz,203
Intel Pentium M 1.20GHz,199
Intel Pentium M 1300MHz,197
AMD Athlon L110,197
Intel Celeron M 1300MHz,197
Mobile AMD Athlon XP-M 2000+,196
Intel Pentium M 1.30GHz,196
Intel Atom N455 @ 1.66GHz,196
AMD E-240,195
AMD Athlon XP 2000+,195
AMD Athlon XP 1800+,195
Intel Pentium M 1.60GHz,194
Intel Core Solo T1350 @ 1.86GHz,194
Intel Pentium III 1400S @ 1400MHz,194
Mobile AMD Athlon XP-M 1800+,193
Intel Atom N2100 @ 1.60GHz,193
Intel Pentium III 1400 @ 1400MHz,193
Intel Pentium M 1600MHz,193
Intel Celeron M 1.50GHz,192
Mobile AMD Athlon MP-M 2400+,192
AMD Athlon 1500+,191
Intel Celeron 2.80GHz,190
Intel Celeron M 1.60GHz,190
Intel Pentium M 1500MHz,188
AMD Sempron 2200+,184
AMD V105,184
Intel Pentium M 1.10GHz,184
Intel Atom E3815 @ 1.46GHz,184
AMD Athlon XP1600+,183
Intel Atom Z530 @ 1.60GHz,183
Mobile Intel Celeron 1333MHz,183
Mobile Intel Pentium 4 2.66GHz,182
Intel Celeron 2.26GHz,182
Intel Xeon 2.40GHz,180
Intel Atom D410 @ 1.66GHz,180
Intel Atom N475 @ 1.83GHz,179
AMD C-30,178
AMD G-T52R,177
AMD Athlon XP 1700+,176
AMD Athlon XP 1600+,174
Intel Celeron 215 @ 1.33GHz,174
Mobile AMD Athlon MP-M 1800+,173
Intel Celeron M 440 @ 1.86GHz,169
Mobile AMD Athlon XP-M 1600+,169
Intel Atom 230 @ 1.60GHz,169
Intel Celeron M 430 @ 1.73GHz,169
AMD Athlon XP 1500+,167
Intel Celeron 2.13GHz,166
Intel XEON 2.20GHz,164
Intel Core Solo U1500 @ 1.33GHz,164
Intel Celeron 2.50GHz,164
Mobile AMD Sempron 2100+,164
Intel Pentium III Mobile 1133MHz,164
Intel Pentium 4 2.53GHz,162
Intel Pentium 4 2.50GHz,160
Intel Pentium III Mobile 1066MHz,160
Intel Celeron 2.70GHz,159
Intel Celeron 1200MHz,159
Intel Atom Z670 @ 1.50GHz,158
Intel Atom N280 @ 1.66GHz,157
Intel Pentium 4 2.20GHz,157
Intel Pentium 4 2.66GHz,157
Intel Pentium III Mobile 1200MHz,156
Intel Pentium M 1000MHz,156
Intel Pentium M 1200MHz,155
AMD Athlon 64 2000+,154
Mobile Intel Celeron 2.40GHz,154
Intel Pentium 4 3.83GHz,154
Intel Atom N435 @ 1.33GHz,153
Intel Xeon 2.00GHz,152
Intel Pentium 4 2.26GHz,151
Intel Pentium 4 2.93GHz,150
Intel Celeron M 1.00GHz,149
Intel Celeron 2.30GHz,148
Mobile Intel Celeron 2.20GHz,147
Mobile Intel Pentium III - M 1200MHz,146
Mobile Intel Pentium 4 - M 2.20GHz,143
Intel Celeron 2.60GHz,143
Intel Celeron 2.40GHz,143
Intel Pentium M 900MHz,141
Intel Celeron 1000MHz,139
Mobile Intel Pentium 4 - M 2.40GHz,139
Intel Celeron 2.20GHz,139
Intel Celeron M 420 @ 1.60GHz,139
Mobile Intel Pentium 4 - M 2.00GHz,138
Intel Atom N270 @ 1.60GHz,136
Intel Pentium 4 Mobile 1.90GHz,136
Mobile Intel Celeron 2.00GHz,133
Intel Pentium 4 2.00GHz,133
Intel Pentium 4 Mobile 2.00GHz,132
Intel Celeron 2.66GHz,131
Intel Pentium 4 2.40GHz,131
Mobile Intel Pentium III - M 933MHz,130
Intel Core Solo U1400 @ 1.20GHz,130
Intel Core Solo U1300 @ 1.06GHz,127
AMD Sempron 200U,125
Intel Celeron 2.00GHz,125
Intel Celeron M 443 @ 1.20GHz,125
Intel Celeron M 900MHz,123
Intel Celeron M 410 @ 1.46GHz,123
Intel Atom Z520 @ 1.33GHz,122
Mobile Intel Celeron 1.80GHz,121
