Model,Performance
Intel Xeon E5-2682 v4 @ 2.50GHz,19051
Intel Core Ultra 5 226V,19050
AMD Ryzen 7 PRO 7730U,19008
Intel Xeon W-1350 @ 3.30GHz,19007
Intel Xeon Gold 6244 @ 3.60GHz,18980
Intel Xeon E5-2676 v4 @ 2.40GHz,18978
AMD Ryzen 9 4900HS,18943
AMD Ryzen Z1,18933
Intel Core i9-11900T @ 1.50GHz,18929
AMD Ryzen 5 PRO 6650H,18928
Intel Core i7-11850HE @ 2.60GHz,18899
Intel Xeon E5-2698 v3 @ 2.30GHz,18843
Intel Xeon W-1290E @ 3.50GHz,18786
Intel Core i5-1340P,18780
Intel Core i7-10700K @ 3.80GHz,18762
AMD Ryzen 5 PRO 5655GE,18734
AMD Ryzen 5 6600H,18705
